channel_width,forward,backward,count,total_spawned,propensity
10,1.0,0.0,19,1.0,2.1974543990240964e-06
10,1.0,3.0,15,4.0,1.7348324202821814e-06
10,4.0,3.0,15,7.0,1.7348324202821814e-06
10,4.0,5.0,14,9.0,1.6191769255967027e-06
10,3.0,5.0,14,8.0,1.6191769255967027e-06
10,2.0,4.0,12,6.0,1.3878659362257453e-06
10,5.0,5.0,12,10.0,1.3878659362257453e-06
10,-1.0,2.0,11,1.0,1.2722104415402661e-06
10,5.0,4.0,9,9.0,1.0408994521693087e-06
10,1.5,1.5,8,3.0,9.2524395748383e-07
10,2.0,0.0,8,2.0,9.2524395748383e-07
10,5.0,6.0,8,11.0,9.2524395748383e-07
10,4.0,6.0,7,10.0,8.095884627983513e-07
10,2.0,5.0,7,7.0,8.095884627983513e-07
10,6.0,6.0,6,12.0,6.939329681128726e-07
10,0.0,2.0,5,2.0,5.782774734273937e-07
10,3.0,1.0,5,4.0,5.782774734273937e-07
10,5.0,7.0,5,12.0,5.782774734273937e-07
10,6.0,7.0,5,13.0,5.782774734273937e-07
10,6.0,5.0,4,11.0,4.62621978741915e-07
10,4.0,7.0,3,11.0,3.469664840564363e-07
10,4.0,2.0,3,6.0,3.469664840564363e-07
10,8.0,7.0,3,15.0,3.469664840564363e-07
10,8.0,6.0,2,14.0,2.313109893709575e-07
10,7.0,6.0,2,13.0,2.313109893709575e-07
10,5.0,3.0,2,8.0,2.313109893709575e-07
10,-1.0,1.0,2,0.0,2.313109893709575e-07
10,4.0,1.0,2,5.0,2.313109893709575e-07
10,3.0,6.0,2,9.0,2.313109893709575e-07
10,1.0,5.0,2,6.0,2.313109893709575e-07
10,-1.0,3.0,2,2.0,2.313109893709575e-07
10,-1.0,4.0,2,3.0,2.313109893709575e-07
10,0.0,3.0,2,3.0,2.313109893709575e-07
10,7.0,4.0,1,11.0,1.1565549468547875e-07
10,10.0,11.0,1,21.0,1.1565549468547875e-07
10,10.0,9.0,1,19.0,1.1565549468547875e-07
10,10.0,7.0,1,17.0,1.1565549468547875e-07
10,8.0,10.0,1,18.0,1.1565549468547875e-07
10,8.0,8.0,1,16.0,1.1565549468547875e-07
10,7.0,9.0,1,16.0,1.1565549468547875e-07
10,7.0,8.0,1,15.0,1.1565549468547875e-07
10,7.0,7.0,1,14.0,1.1565549468547875e-07
10,7.0,5.0,1,12.0,1.1565549468547875e-07
10,6.0,8.0,1,14.0,1.1565549468547875e-07
10,6.0,9.0,1,15.0,1.1565549468547875e-07
10,4.0,8.0,1,12.0,1.1565549468547875e-07
10,0.0,4.0,1,4.0,1.1565549468547875e-07
10,0.0,5.0,1,5.0,1.1565549468547875e-07
10,0.5,0.5,1,1.0,1.1565549468547875e-07
10,6.0,4.0,1,10.0,1.1565549468547875e-07
10,6.0,2.0,1,8.0,1.1565549468547875e-07
10,6.0,1.0,1,7.0,1.1565549468547875e-07
10,2.5,2.5,1,5.0,1.1565549468547875e-07
10,3.0,0.0,1,3.0,1.1565549468547875e-07
10,3.0,7.0,1,10.0,1.1565549468547875e-07
10,5.0,1.0,1,6.0,1.1565549468547875e-07
10,4.5,4.5,1,9.0,1.1565549468547875e-07
10,11.0,12.0,1,23.0,1.1565549468547875e-07
12,1.0,1.0,704,2.0,8.223026069990751e-05
12,2.0,2.0,145,4.0,1.6936630399838903e-05
12,0.0,1.0,132,1.0,1.541817388123266e-05
