fate,interval,count,first_event_position_sum,fronts_forward_sum,fronts_backward_sum
other front spawning events,90,451.0,93564.0,495.0,1046.0
other front spawning events,95,432.0,110076.0,458.0,1016.0
other front spawning events,100,403.0,115154.0,456.0,918.0
other front spawning events,110,389.0,120386.0,426.0,808.0
other front spawning events,120,313.0,111554.0,358.0,631.0
other front spawning events,150,240.0,112105.0,271.0,427.0
other front spawning events,200,161.0,79181.0,177.0,277.0
other front spawning events,300,149.0,77343.0,192.0,253.0
annihilation by backward front,40,5.0,764.0,0.0,0.0
annihilation by backward front,45,12.0,4066.0,0.0,0.0
annihilation by backward front,50,16.0,5117.0,0.0,0.0
annihilation by backward front,55,25.0,10630.0,0.0,0.0
annihilation by backward front,60,35.0,11086.0,4.0,0.0
annihilation by backward front,65,72.0,29194.0,4.0,0.0
annihilation by backward front,70,98.0,43945.0,1.0,0.0
annihilation by backward front,75,94.0,47638.0,1.0,0.0
annihilation by backward front,80,118.0,52998.0,3.0,0.0
annihilation by backward front,85,146.0,68060.0,1.0,0.0
annihilation by backward front,90,165.0,79346.0,2.0,0.0
annihilation by backward front,95,188.0,80509.0,0.0,0.0
annihilation by backward front,100,173.0,79016.0,2.0,0.0
annihilation by backward front,110,230.0,105258.0,1.0,0.0
annihilation by backward front,120,239.0,105901.0,0.0,0.0
annihilation by backward front,150,244.0,115856.0,0.0,0.0
annihilation by backward front,200,264.0,123861.0,0.0,0.0
annihilation by backward front,300,269.0,129626.0,0.0,0.0
