channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,1000,70,330,30,500,6102
6,1000,70,340,30,500,6077
6,1000,70,350,30,500,6065
6,1000,70,360,30,500,6038
6,1000,70,370,30,500,6007
6,1000,70,380,30,500,5985
6,1000,70,390,30,500,5963
6,1000,70,400,30,500,5939
6,1000,70,410,30,500,5920
6,1000,70,420,30,500,5901
6,1000,70,430,30,500,5878
6,1000,70,440,30,500,5871
6,1000,70,450,30,500,5848
6,1000,70,460,30,500,5814
6,1000,70,470,30,500,5795
6,1000,70,480,30,500,5775
6,1000,70,490,30,500,5745
6,1000,70,500,30,500,5730
6,1000,70,510,30,500,5708
6,1000,70,520,30,500,5670
6,1000,70,530,30,500,5663
6,1000,70,540,30,500,5643
6,1000,70,550,30,500,5626
6,1000,70,560,30,500,5609
6,1000,70,570,30,500,5589
6,1000,70,580,30,500,5579
6,1000,70,590,30,500,5551
6,1000,70,600,30,500,5547
6,1000,70,610,30,500,5534
6,1000,70,620,30,500,5515
6,1000,70,630,30,500,5498
6,1000,70,640,30,500,5473
6,1000,70,650,30,500,5467
6,1000,70,660,30,500,5451
6,1000,70,670,30,500,5437
6,1000,70,680,30,500,5427
6,1000,70,690,30,500,5409
6,1000,70,700,30,500,5396
6,1000,70,710,30,500,5377
6,1000,70,720,30,500,5356
6,1000,70,730,30,500,5344
6,1000,70,740,30,500,5327
6,1000,70,750,30,500,5314
6,1000,70,760,30,500,5308
6,1000,70,770,30,500,5289
6,1000,70,780,30,500,5274
6,1000,70,790,30,500,5268
6,1000,70,800,30,500,5259
6,1000,70,810,30,500,5252
6,1000,70,820,30,500,5234
6,1000,70,830,30,500,5219
6,1000,70,840,30,500,5208
6,1000,70,850,30,500,5203
6,1000,70,860,30,500,5180
6,1000,70,870,30,500,5155
6,1000,70,880,30,500,5142
6,1000,70,890,30,500,5131
6,1000,70,900,30,500,5114
6,1000,70,910,30,500,5110
6,1000,70,920,30,500,5098
6,1000,70,930,30,500,5082
6,1000,70,940,30,500,5068
6,1000,70,950,30,500,5059
6,1000,70,960,30,500,5049
6,1000,70,970,30,500,5045
6,1000,70,980,30,500,5037
6,1000,70,990,30,500,5024
6,1000,70,1000,30,500,5005
6,1000,80,2,30,500,15605
6,1000,80,10,30,500,13376
6,1000,80,20,30,500,10977
6,1000,80,30,30,500,9913
6,1000,80,40,30,500,9349
6,1000,80,50,30,500,8933
6,1000,80,60,30,500,8740
6,1000,80,70,30,500,8546
6,1000,80,80,30,500,8358
6,1000,80,90,30,500,8219
6,1000,80,100,30,500,8107
6,1000,80,110,30,500,8010
6,1000,80,120,30,500,7907
6,1000,80,130,30,500,7833
6,1000,80,140,30,500,7782
6,1000,80,150,30,500,7706
6,1000,80,160,30,500,7644
6,1000,80,170,30,500,7576
6,1000,80,180,30,500,7507
6,1000,80,190,30,500,7459
6,1000,80,200,30,500,7411
6,1000,80,210,30,500,7357
6,1000,80,220,30,500,7310
6,1000,80,230,30,500,7275
6,1000,80,240,30,500,7226
6,1000,80,250,30,500,7181
6,1000,80,260,30,500,7155
6,1000,80,270,30,500,7134
6,1000,80,280,30,500,7079
6,1000,80,290,30,500,7027
6,1000,80,300,30,500,7002
6,1000,80,310,30,500,6961
6,1000,80,320,30,500,6934
6,1000,80,330,30,500,6921
6,1000,80,340,30,500,6881
6,1000,80,350,30,500,6855
6,1000,80,360,30,500,6812
6,1000,80,370,30,500,6782
6,1000,80,380,30,500,6755
6,1000,80,390,30,500,6746
6,1000,80,400,30,500,6707
6,1000,80,410,30,500,6659
6,1000,80,420,30,500,6631
6,1000,80,430,30,500,6603
6,1000,80,440,30,500,6584
6,1000,80,450,30,500,6540
