,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
2,5,100,106,0.24767461732819157,0.7523253826718084,0.007097409270488758,0.4258445562293255
3,5,100,109,0.2300332267075184,0.7699667732924815,0.00706391535130717,0.4238349210784302
4,5,100,112,0.20109646422121835,0.7989035357787817,0.007133067283739122,0.42798403702434734
5,5,100,115,0.18598309660896628,0.8140169033910337,0.007078407855574206,0.4247044713344524
6,5,100,119,0.167037065329661,0.832962934670339,0.006999688526641504,0.4199813115984903
7,5,100,123,0.14436675331378304,0.855633246686217,0.006956367859237537,0.4173820715542522
8,5,100,126,0.13356182873142233,0.8664381712685777,0.006876493422766489,0.4125896053659894
9,5,100,130,0.10856328003996961,0.8914367199600304,0.00685720553815408,0.4114323322892448
10,5,100,134,0.09896651767532652,0.9010334823246735,0.006724130465109504,0.40344782790657024
11,5,300,116,0.41298467871380606,0.5870153212861939,0.005060476907639603,0.3036286144583762
12,5,300,119,0.3743358749426162,0.6256641250573838,0.005257681723171292,0.31546090339027755
13,5,300,123,0.3402474695991312,0.6597525304008688,0.005363841710576169,0.32183050263457014
14,5,300,127,0.3037767561762013,0.6962232438237987,0.005482072786014164,0.32892436716084983
15,5,300,131,0.278783539075492,0.721216460924508,0.0055054691673626565,0.3303281500417594
16,5,300,135,0.25833299471850635,0.7416670052814937,0.005493829668751805,0.3296297801251083
17,5,300,139,0.24672655897588366,0.7532734410241163,0.005419233388662707,0.3251540033197624
18,5,300,143,0.22328860798478173,0.7767113920152182,0.005431548195910617,0.32589289175463704
19,5,300,147,0.20206794631588487,0.7979320536841151,0.005428109208735477,0.32568655252412865
20,5,300,152,0.19471551550773034,0.8052844844922696,0.005297924240080722,0.3178754544048433
21,5,300,156,0.19199489256357175,0.8080051074364283,0.005179519919464284,0.310771195167857
22,5,1000,154,0.548623414680977,0.451376585319023,0.0029310167877858637,0.17586100726715181
23,5,1000,159,0.5134170516609743,0.4865829483390257,0.0030602701153397845,0.18361620692038708
24,5,1000,164,0.49887884518152276,0.5011211548184773,0.003055616797673642,0.18333700786041854
25,5,1000,169,0.47405756600537713,0.5259424339946228,0.003112085408252206,0.18672512449513237
26,5,1000,174,0.4591434771061965,0.5408565228938035,0.0031083708212287556,0.18650224927372533
27,5,1000,180,0.4458601834259295,0.5541398165740705,0.003078554536522614,0.18471327219135683
28,5,1000,185,0.43277478090186383,0.5672252190981362,0.0030660822653953306,0.18396493592371985
29,5,1000,191,0.4150929181480462,0.5849070818519537,0.003062340742680386,0.18374044456082317
30,5,1000,196,0.3942082204646142,0.6057917795353858,0.003090774385384621,0.18544646312307728
31,5,1000,202,0.39369811897513896,0.606301881024861,0.003001494460519114,0.18008966763114684
32,5,1000,209,0.3831354170145825,0.6168645829854176,0.0029515051817484094,0.17709031090490457
0,4,100,93,0.4555935642151835,0.5444064357848165,0.0058538326428474894,0.3512299585708494
1,4,100,96,0.4264663486881512,0.5735336513118487,0.005974308867831758,0.35845853206990547
2,4,100,99,0.39836967138221285,0.6016303286177871,0.006077074026442294,0.3646244415865376
3,4,100,102,0.3905439014612398,0.6094560985387603,0.005975059789595689,0.35850358737574134
4,4,100,105,0.36572960119290715,0.6342703988070928,0.006040670464829455,0.3624402278897673
5,4,100,108,0.3429255649179225,0.6570744350820775,0.006084022547056273,0.3650413528233764
6,4,100,112,0.30486283630616645,0.6951371636938335,0.006206581818694942,0.3723949091216965
7,4,100,115,0.3022383447379946,0.6977616552620054,0.0060674926544522206,0.3640495592671332
8,4,100,119,0.275256692887156,0.724743307112844,0.006090279891704571,0.36541679350227424
9,4,100,122,0.2641522111792131,0.7358477888207868,0.0060315392526294,0.36189235515776397
10,4,100,126,0.24615469486232325,0.7538453051376768,0.005982899247124419,0.35897395482746514
