fate,interval,count,first_event_position_sum,fronts_forward_sum,fronts_backward_sum
other front spawning events,100,140.0,6272.0,152.0,228.0
other front spawning events,110,109.0,5206.0,112.0,163.0
other front spawning events,120,60.0,2676.0,66.0,86.0
other front spawning events,150,31.0,1469.0,41.0,47.0
other front spawning events,200,13.0,642.0,17.0,19.0
other front spawning events,300,18.0,910.0,23.0,26.0
annihilation by backward front,40,2.0,20.0,0.0,0.0
annihilation by backward front,45,1.0,11.0,0.0,0.0
annihilation by backward front,50,3.0,70.0,0.0,0.0
annihilation by backward front,55,6.0,236.0,0.0,0.0
annihilation by backward front,60,8.0,503.0,0.0,0.0
annihilation by backward front,65,8.0,306.0,0.0,0.0
annihilation by backward front,70,9.0,449.0,0.0,0.0
annihilation by backward front,75,3.0,94.0,0.0,0.0
annihilation by backward front,80,7.0,287.0,0.0,0.0
annihilation by backward front,85,10.0,517.0,0.0,0.0
annihilation by backward front,90,14.0,662.0,0.0,0.0
annihilation by backward front,95,19.0,957.0,0.0,0.0
annihilation by backward front,100,10.0,548.0,0.0,0.0
annihilation by backward front,110,18.0,832.0,0.0,0.0
annihilation by backward front,120,16.0,744.0,0.0,0.0
annihilation by backward front,150,21.0,957.0,0.0,0.0
annihilation by backward front,200,13.0,540.0,0.0,0.0
annihilation by backward front,300,7.0,221.0,0.0,0.0
